,id,created_at,text
0,1655296836364804096,2023-05-07 19:41:34+00:00,"RT @snsachinnandu: They need to give a lot more than AIIMS 

IN FACT, AIIMS is not necessary

They’ll need better highways, better road con…"
1,1655296152131227649,2023-05-07 19:38:51+00:00,"RT @snsachinnandu: They need to give a lot more than AIIMS 

IN FACT, AIIMS is not necessary

They’ll need better highways, better road con…"
2,1655295518908751873,2023-05-07 19:36:20+00:00,"RT @snsachinnandu: They need to give a lot more than AIIMS 

IN FACT, AIIMS is not necessary

They’ll need better highways, better road con…"
3,1655293125403738115,2023-05-07 19:26:49+00:00,"RT @BloodAid: #Raipur #Chhattisgarh Need B+ #Blood @ AIIMS Hospital. 
Call 7609837380
#BloodAid via @boghivenkatesh cc @raipurcity @Varwand…"
4,1655291246397755392,2023-05-07 19:19:21+00:00,@PenduProfessor @BesuraTaansane A leading Rheumatologist &amp; a Endocrinologist in Delhi are also charging something m… https://t.co/7G3kIeSb9f
5,1655291217096355840,2023-05-07 19:19:14+00:00,@snsachinnandu AIIMs to Central Key to Peak or economic reason Blore.
6,1655290931900461056,2023-05-07 19:18:06+00:00,"RT @snsachinnandu: They need to give a lot more than AIIMS 

IN FACT, AIIMS is not necessary

They’ll need better highways, better road con…"
7,1655290165609521153,2023-05-07 19:15:03+00:00,"They need to give a lot more than AIIMS 

IN FACT, AIIMS is not necessary

They’ll need better highways, better roa… https://t.co/hOSSLKJIPP"
8,1655289340413767683,2023-05-07 19:11:47+00:00,"@fudgellas is that the reason for kannadga's low prescence in IITs, AIIMS and IIMs?"
9,1655287271120338944,2023-05-07 19:03:33+00:00,@Hydro_Ginn If you only want to become a doctor and achieve your dream then it's completely okay. I have seen guys… https://t.co/qA9cDnEher
10,1655284992510156800,2023-05-07 18:54:30+00:00,"RT @KIITUniversity: Our heartfelt congratulations to #KIITians Anurag Samantaray, Asish Mohapatra, and Ayush Mohapatra from the KIIT School…"
11,1655282999423033345,2023-05-07 18:46:35+00:00,"@susheelshinde98 AIIMS Delhi , many Brahmins work as sanitary workers"
12,1655282472744112132,2023-05-07 18:44:29+00:00,@HarrisonsReader Everything gets close around 240 most of the ppl prefer aiims Delhi or pgi bhai mere batchmates kh… https://t.co/Es3DEnScwB
13,1655281226499125251,2023-05-07 18:39:32+00:00,when I pay for appointment from AIIMS Bhubaneswar on https://t.co/wptzNuo2GX it's successfully paid but after that… https://t.co/yeHGJEXxly
14,1655279497493778432,2023-05-07 18:32:40+00:00,@Pooja41717197 @NEEMGI1 @DrKushal_S @DrDatta_AIIMS @PBMCI People don't know why every patient go to private hospita… https://t.co/BpIN4dSSbL
15,1655278911654338565,2023-05-07 18:30:20+00:00,"At KPIMS in Agra, we prioritize your well-being by offering top-notch treatments supported by cutting-edge technolo… https://t.co/nSXGu09yC8"
16,1655278495814287360,2023-05-07 18:28:41+00:00,"RT @ShikshaDotCom: NEET PG counselling 2023 should start immediately after AIIMS INI CET 2023 exam: FAIMA Chairman
#neetpg #INICET 
https:/…"
17,1655277780114784262,2023-05-07 18:25:51+00:00,"RT @RajeevJayadevan: 1 out of five who died were below age 45

Profile of first and second waves in India 

Low lymphocyte count notable am…"
18,1655277719855468544,2023-05-07 18:25:36+00:00,"Q. AFMC Procedure?
A. To be filled at the time of registration on mcc

Q. AIIMS/ JIPMER?
A.  Seats To be filled by MCC

Good luck all!!!"
19,1655275321871028224,2023-05-07 18:16:04+00:00,"RT @BloodAid: #Raipur #Chhattisgarh Need B+ #Blood @ AIIMS Hospital. 
Call 7609837380
#BloodAid via @boghivenkatesh cc @raipurcity @Varwand…"
20,1655274376714149888,2023-05-07 18:12:19+00:00,"RT @dr_RaviKhandal: This is inform all Post Graduate medical students that their #Stipend is #Taxfree 
Please refer this letter to your CA…"
21,1655272798187827201,2023-05-07 18:06:03+00:00,"RT @KIITUniversity: Our heartfelt congratulations to #KIITians Anurag Samantaray, Asish Mohapatra, and Ayush Mohapatra from the KIIT School…"
22,1655271435198410752,2023-05-07 18:00:38+00:00,"RT @YASMinistry: Smt. Rekha Arya, Minister of Women &amp; Child Development, Govt. of Uttarakhand, inspires the youth with her insightful words…"
23,1655271247352336384,2023-05-07 17:59:53+00:00,"RT @DrBharatippawar: During my visit to AIIMS Rishikesh, distributed nutrition kits under Nikshay Mitra Yojana to Tuberculosis Patients. We…"
24,1655270377139105793,2023-05-07 17:56:26+00:00,"RT @iCanSaveLife: #Raipur #May7
Need B+ve Blood donors
At AIIMS Hospital
Call 7609837380
via @boghivenkatesh cc @raipurcity #iCanSaveLife #…"
25,1655270131013136384,2023-05-07 17:55:27+00:00,"RT @bunukjr: #VaccineSideEffects
#VaccineDeaths
Dear @DrEricDing, what is medicine, that remove the side effects and negative impact of tre…"
26,1655270109999665152,2023-05-07 17:55:22+00:00,"RT @bunukjr: I know #VaccineSideEffects removed by some medicines. But doses are 1 ML 2 ML?

Why not 0.1-0.5 ML!
#VaccineDeaths
#VaccineGen…"
27,1655270035424940032,2023-05-07 17:55:04+00:00,"Smt. Rekha Arya, Minister of Women &amp; Child Development, Govt. of Uttarakhand, inspires the youth with her insightfu… https://t.co/JX5642qofn"
28,1655269476965945350,2023-05-07 17:52:51+00:00,"RT @BloodAid: #Raipur #Chhattisgarh Need B+ #Blood @ AIIMS Hospital. 
Call 7609837380
#BloodAid via @boghivenkatesh cc @raipurcity @Varwand…"
29,1655269205586092032,2023-05-07 17:51:46+00:00,"RT @BloodAid: #Raipur #Chhattisgarh Need B+ #Blood @ AIIMS Hospital. 
Call 7609837380
#BloodAid via @boghivenkatesh cc @raipurcity @Varwand…"
30,1655268996734914562,2023-05-07 17:50:56+00:00,"RT @BloodAid: #Raipur #Chhattisgarh Need B+ #Blood @ AIIMS Hospital. 
Call 7609837380
#BloodAid via @boghivenkatesh cc @raipurcity @Varwand…"
31,1655268823073968128,2023-05-07 17:50:15+00:00,"RT @BloodAid: #Raipur #Chhattisgarh Need B+ #Blood @ AIIMS Hospital. 
Call 7609837380
#BloodAid via @boghivenkatesh cc @raipurcity @Varwand…"
32,1655268574548881408,2023-05-07 17:49:16+00:00,"RT @SnehalKhajure1: When SSR nail clippings, finger swabs and hair samples were not collected by Cooper than how AIIMS claimed that SSR was…"
33,1655268536921784322,2023-05-07 17:49:07+00:00,RT @SnehalKhajure1: Why is CBI not holding AIIMS Panel accountable for information leaks on an ongoing investigation to random reporters? @…
34,1655268217391296515,2023-05-07 17:47:51+00:00,"A patient complained of harrasment in terms of treatment in AIIMS, Bhubaneswar.immediate step to be taken for treat… https://t.co/IeHj5f0tqt"
