,id,created_at,text
0,1655283005651582977,2023-05-07 18:46:36+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
1,1655282935849979905,2023-05-07 18:46:20+00:00,RT @abdulscumsock: indian education system soo crazy u ask a 4 year old what does he wanna do he's gonna tell u i wanna go to iit roorkee a…
2,1655281975639576576,2023-05-07 18:42:31+00:00,"IIT JEE Advanced Online Form 2023.
#iit
#jee
#sarkarizob https://t.co/haXw1eF5NA"
3,1655281267687182336,2023-05-07 18:39:42+00:00,@caramelboobies Do iit
4,1655281267414532097,2023-05-07 18:39:42+00:00,"RT @RusthumHere: #PawanKalyan Mass Craze Thread 🔥

Mass Herolu ante Chala mandhi Gurthostharu.. But Mass Fan Base ante Ustaad @PawanKalyan…"
5,1655281252151459843,2023-05-07 18:39:38+00:00,"Bingo! #JimCourier just repeated what I said out loud: Iit's windy, if temperature drops, that'll benefit #Alcaraz… https://t.co/AC69AtaxL4"
6,1655281180965748736,2023-05-07 18:39:21+00:00,"@Crabbypixel And it will impact you job position once you got out. 
For ex in my company: iitians got L2
Top 8 Nits… https://t.co/pCiOF8rZxQ"
7,1655281016565800960,2023-05-07 18:38:42+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
8,1655280859434586112,2023-05-07 18:38:05+00:00,"Team Think India IIT Guwahati wishes you a Happy World Red Cross Day 2023.

Also, on the occasion of World Thalasse… https://t.co/lKlxW6KMw1"
9,1655280787640442881,2023-05-07 18:37:48+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
10,1655280260525563908,2023-05-07 18:35:42+00:00,"@dmuthuk @narendramodi Example of 1 city in Karnataka, Hubli-Dharwad got IIT, IIIT, Infosys. My city's airport beca… https://t.co/qpMRlNUbKs"
11,1655280062265192448,2023-05-07 18:34:55+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
12,1655279841611227136,2023-05-07 18:34:02+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
13,1655279552883724288,2023-05-07 18:32:53+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
14,1655279382746001409,2023-05-07 18:32:13+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
15,1655279268098904064,2023-05-07 18:31:45+00:00,@Crabbypixel Tbh i was just feeling blessed while explaining all these. There was a sudden thought what if i didn’t… https://t.co/K4OlpkWoxd
16,1655279088347795456,2023-05-07 18:31:02+00:00,"Chess Club IIT Kanpur is finally on Twitter!
@chessiitk"
17,1655279080349245440,2023-05-07 18:31:01+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
18,1655279046497030144,2023-05-07 18:30:52+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
19,1655277922620706817,2023-05-07 18:26:24+00:00,The night life at IIT Roorkee is not just about parties and entertainment. It's also a time when students come toge… https://t.co/umlbuwhs4X
20,1655277249355210752,2023-05-07 18:23:44+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
21,1655277143759134720,2023-05-07 18:23:19+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
22,1655277133168779264,2023-05-07 18:23:16+00:00,"@TheAnkurTyagi I got almost same marks in same year in UPboard
Failed aieee iit pre. 

Now I am a CA"
23,1655276746025971713,2023-05-07 18:21:44+00:00,@Lord_ofNo_Where @AasiMuneeb We need IIT’s
24,1655276741785444352,2023-05-07 18:21:43+00:00,"RT @Indemb_Muscat: In Salalah, Amb @Amit_Narang visited Dhofar University @ the invitation of Vice Chancellor Prof Amer bin Ali Al-Rawas. T…"
25,1655275824579506176,2023-05-07 18:18:04+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
26,1655275411020955649,2023-05-07 18:16:26+00:00,@Krishna00101540 And maximum students don't even aim for IIT so yeah engineering is easier than medical mbbs lol
27,1655275045286207488,2023-05-07 18:14:58+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
28,1655274964621332485,2023-05-07 18:14:39+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
29,1655274483824095232,2023-05-07 18:12:45+00:00,"Fan of IIT, but not fan of PCM https://t.co/ibVogfMdIe"
30,1655274228701343745,2023-05-07 18:11:44+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
31,1655273992633352192,2023-05-07 18:10:48+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
32,1655273880603459584,2023-05-07 18:10:21+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
33,1655273444882382849,2023-05-07 18:08:37+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
34,1655273080628076544,2023-05-07 18:07:10+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
35,1655272866152316928,2023-05-07 18:06:19+00:00,You can take RCB at place of LSG but Final and winner won't change see you at the end of IPL.
36,1655272590913728513,2023-05-07 18:05:13+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
37,1655272577173184514,2023-05-07 18:05:10+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
38,1655272479601070080,2023-05-07 18:04:47+00:00,"My predictions for playoff 
GT 
CSK
LSG
MI
Final GTvsCSK
Winner GT #IPL"
39,1655272457157357569,2023-05-07 18:04:41+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
40,1655272413490184192,2023-05-07 18:04:31+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
41,1655272382519742464,2023-05-07 18:04:24+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
42,1655272332561358848,2023-05-07 18:04:12+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
43,1655272327725342720,2023-05-07 18:04:11+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
44,1655272303016697857,2023-05-07 18:04:05+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
45,1655272271802675200,2023-05-07 18:03:57+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
46,1655272144291655680,2023-05-07 18:03:27+00:00,@love_liv_laf My angst when I wanted to study #Medical n not #IIT though I had #3013 rank as I had 🙏
47,1655271724097630209,2023-05-07 18:01:47+00:00,"IIT Kanpur's eMasters Degree in Communication Systems to diversify domain expertise

https://t.co/KX9X6REHs3
https://t.co/KX9X6REHs3"
48,1655271634817921024,2023-05-07 18:01:25+00:00,"RT @sidin: Netflix is sitting on a goldmine

Indian Batchmaking: IIT entrance
Indian Catchmaking: Cricket
Indian Natchmaking: Choreography…"
49,1655271124421451777,2023-05-07 17:59:24+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
50,1655271071967481857,2023-05-07 17:59:11+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
51,1655270836700585984,2023-05-07 17:58:15+00:00,"RT @TheAnkurTyagi: I received 60%+ in 10th and 12th grade.
I received 71% in B-Tech.
I failed in AIEEE &amp; IIT mains.
I did B-Tech in a Tier…"
52,1655270031226462208,2023-05-07 17:55:03+00:00,"RT @simplilearn: Upskill with in-demand Blockchain skills &amp; tools in the #1 Bootcamp without quitting jobs.

• Professional Certificate Pro…"
